Consortium,Data Provider,HRA organ,Tissue block ID,RUI JSON ID,Registration Quality,Reason,Other comments,Unnamed: 8,Unnamed: 9,Unnamed: 10
Buck TMC,Kevin Schneider,LO,SNT396.PBDZ.962,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT353.PNSC.353,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT352.LFKJ.726,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT345.WKXG.883,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT342.GMJV.453,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT239.QGNT.578,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT964.CPBJ.277,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT842.QNGZ.466,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT699.KKCB.822,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT667.NGLD.243,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT652.FQHN.584,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT628.BJBV.779,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT623.FQJT.929,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT294.PFNW.235,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT243.PVFG.777,LO_3.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT964.WVPJ.237,LO_3.json,Medium,Other (please specify),"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available",,,
Buck TMC,Kevin Schneider,LO,SNT955.WHWD.365,LO_3.json,Medium,Other (please specify),"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available",,,
Buck TMC,Kevin Schneider,LO,SNT783.XQDW.379,LO_3.json,Medium,Other (please specify),"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available",,,
Buck TMC,Kevin Schneider,LO,SNT752.FNCN.658,LO_3.json,Medium,Other (please specify),"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available",,,
Buck TMC,Kevin Schneider,LO,SNT675.CCSZ.329,LO_3.json,Medium,Other (please specify),"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available",,,
Buck TMC,Kevin Schneider,LO,SNT263.SKQC.364,LO_3.json,Medium,Other (please specify),"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available",,,
Buck TMC,Kevin Schneider,LO,SNT997.KVQF.724,LO_3.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT946.BMJH.333,LO_3.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT865.DXXC.329,LO_3.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT859.TBWS.548,LO_3.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT756.GGRL.867,LO_3.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT726.CFGR.545,LO_3.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
