block_id,slice_id,filename,tree_pos,slice_number,Unnamed: 0,x,y,z_slice,color,r,g,b,xlim,ylim,pin_nhash_id,polygon_nhash_id,atlas_id,local_name,slab_nhash_id,donor_nhash_id,slab_name,donor_name,pin_MRI_x,pin_MRI_y,pin_HCP_x,pin_HCP_y,pin_HCP_z,pin_MNI_x,pin_MNI_y,pin_MNI_z,polygon_area,polygon_volume(mm^3)
B3,112360837,slice_355.png,354,1600,RI-FADBAD425333,141,869,1600,DARKGRAY,169,169,169,1564,1114,RI-XDYAZV139146,RI-FADBAD425333,265297126,H18.30.002.10x.MD-Re,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,233,54,164,226,154,164,226,154,7827,478
B3,112360683,slice_392.png,391,1752,RI-XFYFBC851471,101,597,1752,DARKGRAY,169,169,169,1580,1060,RI-XYTWRT507459,RI-XFYFBC851471,265297126,H18.30.002.10x.A29-A30,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,177,54,170,189,199,170,189,199,1925.5,117
B2,111257682,slice_200.png,199,910,RI-OJKOIG793578,546,1118,910,DARKGRAY,169,169,169,1208,928,RI-DAXAYA796558,RI-OJKOIG793578,265297126,H19.30.002.CX45.A38,SL-RLQJYW866674,DO-RLQJ8666,H19.30.002.CX.45,H19.30.002,340,166,114,316,87,114,316,87,15947,320
B2,112282579,slice_248.png,247,1117,RI-YBGFYG880046,477,1027,1117,DARKGRAY,169,169,169,1320,980,RI-TYSQYY126661,RI-YBGFYG880046,265297126,H19.30.002.10x.FI,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,305,138,139,286,117,139,286,117,10885,181
B2,112282659,slice_265.png,264,1197,RI-VWYVYU794034,133,941,1197,DARKGRAY,169,169,169,1392,1012,RI-KIHGOO537036,RI-VWYVYU794034,265297126,H19.30.002.10x.BNST,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,269,53,164,276,146,164,276,146,3572,66
B2,112282659,slice_265.png,264,1197,RI-ZSUVWT552906,133,941,1197,DARKGRAY,169,169,169,1392,1012,RI-KIHGOO537036,RI-ZSUVWT552906,265297126,H19.30.002.CX47.BNST,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,269,53,164,276,145,164,276,145,11943,223
B3,112360837,slice_355.png,354,1600,RI-SVWWWU456266,313,832,1600,DARKGRAY,169,169,169,1564,1114,RI-DEDAFA482427,RI-SVWWWU456266,265297126,H19.30.002.10x.LP,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,222,95,161,207,174,161,207,174,12235.5,221
B3,112360771,slice_368.png,367,1664,RI-FEDGFE608166,559,805,1664,DARKGRAY,169,169,169,1505,1108,RI-CDDFJD828854,RI-FEDGFE608166,265297126,H19.30.002.10x.Ig,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,226,157,135,205,155,135,205,155,3094,52
B2,112282739,slice_284.png,283,1297,RI-WSTVTT123933,351,1173,1297,DARKGRAY,169,169,169,1419,1067,RI-IKDMDG987483,RI-WSTVTT123933,265297126,H19.30.001.10x.BL,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,323,103,151,256,107,151,256,107,20776,491
B3,112360965,slice_326.png,325,1476,RI-YQSZTU215088,149,1117,1476,DARKGRAY,169,169,169,1484,1108,RI-DACDUV309966,RI-YQSZTU215088,265297126,H19.30.001.10x.SN,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,303,53,171,247,124,171,247,124,10031,167
B3,112360771,slice_368.png,367,1664,RI-TYXTUV782046,340,834,1664,DARKGRAY,169,169,169,1505,1108,RI-ONRTUS988923,RI-TYXTUV782046,265297126,H19.30.001.10x.VPL,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,237,104,151,202,157,151,202,157,19985,378
B2,111257849,slice_232.png,231,1042,RI-UAVZAZ301022,542,1067,1042,DARKGRAY,169,169,169,1296,890,RI-MLONPM904083,RI-UAVZAZ301022,265297126,H19.30.001.CX45.A38,SL-HBBUPU135265,DO-HBBU1352,H19.30.001.CX.45,H19.30.001,319,165,120,299,90,120,299,90,115160.5,2195
B2,112282595,slice_251.png,250,1133,RI-VVAXVU897696,277,696,1133,FUCHSIA,255,0,255,1392,994,RI-MPOQLQ721147,RI-VVAXVU897696,265297126,H18.30.002.10x.BN.004,SL-KFFCNK489015,DO-KFFC4890,H18.30.002.CX.46,H18.30.002,204,88,164,271,195,164,271,195,16130,964
B3,112360820,slice_359.png,358,1616,RI-ORURQW253643,807,1315,1616,FUCHSIA,255,0,255,1558,1144,RI-WVWTXU141407,RI-ORURQW253643,265297126,H18.30.002.10x.ITG,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,343,216,90,237,57,90,237,57,1853,113
B3,112360683,slice_392.png,391,1752,RI-FBEKFF173395,973,483,1752,FUCHSIA,255,0,255,1580,1060,RI-IJEJBD680187,RI-FBEKFF173395,265297126,H18.30.002.10x.A40,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,160,272,62,196,188,62,196,188,4236,259
B2,111257757,slice_217.png,216,978,RI-UQRSRV185782,835,449,978,FUCHSIA,255,0,255,1292,940,RI-KKHIHH685237,RI-UQRSRV185782,265297126,H19.30.002.CX46.A46,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,167,237,90,293,217,90,293,217,27373.5,456
B2,112282659,slice_265.png,264,1197,RI-YRZUVS662835,398,1113,1197,FUCHSIA,255,0,255,1392,1012,RI-RPSRTU385491,RI-YRZUVS662835,265297126,H19.30.002.10x.Pir,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,310,115,151,274,121,151,274,121,1268,23
B2,112282831,slice_308.png,307,1389,RI-NQKRKL555447,414,958,1389,FUCHSIA,255,0,255,1501,1103,RI-IHJLMI973161,RI-NQKRKL555447,265297126,H19.30.002.10x.GPe,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,261,123,151,246,146,151,246,146,25552.5,487
